brand,product_name,product_type,price,rating_stars,rating_count,image_url
Abba,Pure Color Protection Shampoo,Shampoo & Conditioner,$38.00 ,3.2,6,https://images.ulta.com/is/image/Ulta/2524826
Ardell,Faux Mink Lash #811,Eyes,$6.49 ,4,165,https://images.ulta.com/is/image/Ulta/2504477
BH Cosmetics,Studio Pro Total Coverage Concealer,Face,$6.00 ,4.3,44,https://images.ulta.com/is/image/Ulta/2524818
bareMinerals,Concealer Broad Spectrum SPF 20,Face,$20.00 ,4.7,1680,https://images.ulta.com/is/image/Ulta/2093950
Becca,Shimmering Skin Perfector Pressed Highlighter,Face,$38.00 ,4.7,1053,https://images.ulta.com/is/image/Ulta/2513933
